sampleid,strandedness
ERS1721599,IU
Li-P8-T,IU
GSM1409353,IU
ERS2166509,IU
NWD-32-NS,ISR
Li-P3-N,IU
GSM3034585,ISR
ERS1721609,IU
Li-P6-N,IU
ERS2166490,IU
ERS1721581,IU
GSM4142614,ISR
Li-P3-T,IU
GSM3029042,IU
ERS2166505,IU
